objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,hiddennotes
coll-msu-001,ACC_339_Box06_Brochures_Maps.pdf,,,Starkville City Brochure,Tombigbee Council on Human Relations,unknown,"A brochure from the Tombigbee council on Human Relations describing the amenities of Starkville, MS, including modern schools and businesses. The brochure also includes a map of landmarks.",,"Starkville, MS",,,"Box 6, Manuscript Collections, Mississippi State University Libraries",,Image,image/jpeg,,,http://rightsstatements.org/vocab/NoC-US/1.0/,clip of full document (ACC_339_Box06_Brochures_Maps_001.pdf and ACC_339_Box06_Brochures_Maps_002.pdf) needs to be replaced with a combined version of these
coll-msu-002,integration-picture.pdf,,,Anti-integration cartoon,unknown,1950-1970,Anti-integration cartoon depicting integration as a snake wrapped around a school building.,Civil rights; Mississippi; Starkville (Miss.); School integration; Segregation,,,,"Segregation-Integration Misc. Collection, Manuscript Collections, Mississippi State University Libraries",,Text,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-003,the-saints-come-marching-in.jpg,,,"The ""saints?"" come marching in?",unknown,1962,Anti-integration cartoon posted at Mississippi State University during the time of James Meredith's admission to the University of Mississippi (Ole Miss).,Civil rights; Mississippi; Starkville (Miss.); Racism in cartoons; University of Mississippi; Mississippi State University; School integration; Segregation,,,,"Segregation-Integration Misc. Collection, Manuscript Collections, Mississippi State University Libraries",,Image,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,should we convert this to a jpeg?
coll-msu-004,douglass-conner-papers-naacp-speech.pdf,,,Douglas Conner’s speech to the NAACP,,1969,,,,,,"Douglas Conner Papers, Manuscript Collections, Mississippi State University Libraries",,Text; speech,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,"can't read, consider replacing with https://drive.google.com/file/d/0B_NMpF5t8wkuaTZneEpLSlREWWs/view?usp=sharing&resourcekey=0-v6ihIHoCcVimzS-wM3zI1g"
coll-msu-005,A85-120_FF01-1.pdf,,,"Letter, President of M Club to D. W. Colvard, March 1963",Robert W. Thames,1963-03-05,"Robert W. Thames, president of the M Club Alumni Association, congratulates D. W. Colvard on his decision to authorize the 1963 basketball team to participate in the NCAA tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Libraries",,Text; letter,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-006,A85-120_FF05.pdf,,,"Mississippi State University Administrative Council Minutes, 3/11/1963",,1963-03-11,Minutes of the Administrative Council recount recent events that occurred as a result of MSU's participation in the 1963 NCAA basketball tournament.,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Libraries",,Text; letter,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-007,A85-120_FF01_PressRelease.pdf,,,"Statement by D. W. Colvard, President of Mississippi State University, Relative to participation in National Collegiate Athletic Association Championship Competition, p. 1",D. W. Colvard,1963-03-02,President Colvard addresses the 'unwritten law' in playing an integrated basketball team for the 1963 NCAA championships,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Libraries",,Text,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-009,A85-120_FF08-1.pdf,,,"Mixing to Be Decided in Court, Not Gym",,,,Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Tupelo, MS",,,,,Text; newspaper,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-010,A85-120_FF14-2.pdf,,,"Telegram, Oktibbeha County Alumni Association Chapter Secretary to E. R. Jobe, 3/8/1963",Thomas F. Bell,,"Thomas F. Bell, Secretary of the Oktibbeha County Alumni Association, writes to the Board of Trustees for the Institutions of Higher Learning to reconsider their support of D. W. Colvard's decision to authorize MSU's participation in the 1963 NCAA tournament.",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,"Starkville, MS",,,"University Archives, Mississippi State University Library",,Text,application/pdf,,,http://rightsstatements.org/vocab/NoC-US/1.0/,
coll-msu-011,A85-120_FF08-8.pdf,,,"News editorial from Bennet Strange, 3/18/1963",Bennet Strange,1963-03-18,"Bennet Strange, news director of WDAM-TV Channel 7, reports on the controversial sneaking out of the basketball team to play in the 1963 NCAA basketball tournament",Civil rights; Mississippi; Starkville (Miss.); Civil rights movements; Integration in sports,,,,"University Archives, Mississippi State University Library",,Text; newspaper,application/pdf,,,,
